날짜,스프레드
2002/10,0.6200000000000001
2002/9,0.6899999999999995
2002/8,0.8500000000000005
2002/7,0.8899999999999997
2002/6,0.8300000000000001
2002/5,0.7800000000000002
2002/4,0.7300000000000004
2002/3,0.75
2002/2,0.9799999999999995
2002/1,0.9900000000000002
2001/12,1.1800000000000006
2001/11,1.4400000000000004
2001/10,1.5699999999999994
2001/9,1.4300000000000006
2001/8,1.3599999999999994
2001/7,1.25
2001/6,1.1900000000000004
2001/5,1.2400000000000002
2001/4,1.3200000000000003
2001/3,1.3200000000000003
2001/2,1.3600000000000003
2001/1,1.7599999999999998
2000/12,1.3299999999999992
2000/11,1.0999999999999996
2000/10,0.8800000000000008
